,Author,Title,Quote
0,Nassim Niclas Taleb,Black Swan,Vicissitudes: A Change in circumstance or fortune
1,Nassim Niclas Taleb,Black Swan,Epistemological: Læren om viten eller erkjennelse
2,Nassim Niclas Taleb,Black Swan,Black swans are unknown unknowns. 
3,Nassim Niclas Taleb,Black Swan,Fractals (From Benoit Mandelbrot) has numerical or statistical measures that are somewhat present across scales.
4,Nassim Niclas Taleb,Black Swan,Activist Nobel family member calls the Nobel prize in Economics a public relations coup aiming to put economics on a higher footing than it deserves. 
5,Nassim Niclas Taleb,Black Swan,Fractal theory implies that the probability distribution is scaleable and that its properties are constant across scales. A mountain is probable to have a brother that is higher than it. 
6,Nassim Niclas Taleb,Black Swan,Double-Double: Missing on both the probability and payoff. 
7,Nassim Niclas Taleb,Black Swan,Ad Hominem: Personal attacks.
8,Nassim Niclas Taleb,Black Swan,"""Don´t be a sucker"" - N.N. Taleb"
9,Nassim Niclas Taleb,Black Swan,Missing a train is only painful if you run after it. 
10,Nassim Niclas Taleb,Black Swan,"VUCA, Volatility, Uncertainty, Complexity, and Ambiguity. "
11,Walter Issacson,The Innovators,"On the transistor team: ""Excellent team not a single S.O.B. on the team ... Maybe I am the S.O.B?"" - Melvin Keller"
12,Walter Issacson,The Innovators,"Bardeen on the discovery of the transistor to his wife while she was peeling carrots, almost mumbling: ""We discovered something important today"""
13,Walter Issacson,The Innovators,Understand which industries are symbiotic so that you can capitalize on how they spar each other on. 
14,Walter Issacson,The Innovators,Linear model of innovation:  invention -> innovation -> capitalization
15,Walter Issacson,The Innovators,"During the early days of Apple (Just before they funded the company), Steve Wozniak´s father went to Steve Jobs's house and berated him for wanting a 50-50 split of Apple. ""You haven't made any contributions to the firm,"" Wozniak's father said. He made Steve Jobs cry and wanting to cancel the whole apple affair. "
16,Walter Issacson,The Innovators,Venture Capitalist Andressen (Mosaic) favors start-ups with working code or customer service rather than charts and presentations. 
17,Walter Issacson,The Innovators,"Finance industry is like a big oil tanker, you need to compartmentalize the industry to prevent massive losses in case it goes wrong. Chaos is inherent in the system. "
18,Walter Issacson,The Innovators,"When IBM launched its internal electronic mail service they estimated the number of emails based on previous correspondence; memos, letters, etc. The estimate was so wrong that the server crashed within a day. "
19,Walter Issacson,The Innovators,Kobayashi Maru: No win scenario meant to test the leader in defeat as all things go wrong. 
20,Steven Kotler & Jaime Wheal,Stealing Fire,Proselytizing: Act or fact of religious conscience
21,Steven Kotler & Jaime Wheal,Stealing Fire,4.4 million American youths have used Adderal (Ritalin) for performance-enhancing (Studying) purposes. 
22,Steven Kotler & Jaime Wheal,Stealing Fire,Traipse: Move or walk wearily or reluctantly.
23,Steven Kotler & Jaime Wheal,Stealing Fire,"""No one dances sober unless he is insane"" - Cicero"
24,Steven Kotler & Jaime Wheal,Stealing Fire,Ipso-facto: by that very fact or act
25,Steven Kotler & Jaime Wheal,Stealing Fire,You can't read the label while you are sitting inside the jar. 
26,Steven Kotler & Jaime Wheal,Stealing Fire,"""When all you got is a hammer, everything looks like a nail"" - Abraham Maslow."
27,Steven Kotler & Jaime Wheal,Stealing Fire,"Although the term ""brainwashing"" was invented by the CIA (The term came from an op-ed,  part of the testing of tag phrases by the CIA) it came to be the greatest fear of the American people during the cold war. Even though this phenomenon was only dreamed up by the CIA themselves. "
28,Steven Kotler & Jaime Wheal,Stealing Fire,Jerusalem Syndrome: Temporary fit of madness when visiting a holy place (Extreme ego inflation)
29,Steven Kotler & Jaime Wheal,Stealing Fire,"The term ""Worth his salt"" came from ancient Rome where legionaries where paid in salt. "
30,Caroline Criado Perez,Invisible Women,"""Representation of the world, like the world itself, is the work of men; they describe it from their own point of view, which they confuse with absolute truth"" - Simone de Beauvoir"
31,Caroline Criado Perez,Invisible Women,Shibboleth: Custom or tradition that distinguishes one group from another. 
32,Caroline Criado Perez,Invisible Women,Women are 3 times more likely to be harassed at a transit stop than on public transport. 
33,Caroline Criado Perez,Invisible Women,"The pharmaceutical agent in Viagra was discovered when looking for remedies for dysmenorrhea (Period pain). After the discovery of the effects on erectile dysfunction, the research was discontinued. "
34,Caroline Criado Perez,Invisible Women,Pollyanna principle: Tendency to bias the positive items more accurately than the unpleasant ones. (Pollyanna is a book about how a poor young woman moving in with her strict old aunt makes everyone better)
35,Nassim Niclas Taleb,Fooled by Randomness,Coup de Foudre: Flash of lightning. 
36,Nassim Niclas Taleb,Fooled by Randomness,"Blowing up: When a trader loses more money than expected, thereby firing himself. "
37,Nassim Niclas Taleb,Fooled by Randomness,Masters of the universe: Traders who got lucky and made a lot of money
38,Nassim Niclas Taleb,Fooled by Randomness,Inured: Accustomed to hardships
39,Nassim Niclas Taleb,Fooled by Randomness,"Never ask a man if he is from Sparta. If he were, he would let you know such an important fact. And if he were not, you might hurt his feelings."
